title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
Bella Amore Skin Gluta Berry 漂白皂 / Gluta Berry 乳液 / 保湿霜 / 喜马拉雅亮白,喜马拉雅肥皂,2.8,https://cf.shopee.ph/file/ph-11134207-7rasc-m5zsvwad6m8q0f,http://shopee.ph/product/23053955/29425536578,Bath & Body Care,Body Wash & Soap,IVCN202605201407,29880739800,https://detail.1688.com/offer/911795047552.html?fromkv=cbuPcPlugin:searchEngineRecommend&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,05-21发布,29425536578,4.50602,六月热招,2
TROPIKA薰衣草椰子身体油（30毫升）,TROPIKA薰衣草椰子身体油（30毫升）,7.51,https://cf.shopee.com.my/file/my-11134201-820lf-mfrnkhdk8gzyc5,http://shopee.com.my/product/163557405/4309885871,Bath & Body Care,Body Oil,IVCN202605201409,31049676132,https://detail.1688.com/offer/758518163232.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,05-21发布,4309885871,5.75185,六月热招,1
一盒2块KOJIESA DREMAMWHITE美白抗衰老香皂，正品，135克 x 2,一盒2块KOJIESA DREMAMWHITE美白抗衰老香皂，正品，135克 x 2,21.95,https://cf.shopee.vn/file/vn-11134207-820l4-mg85axp8elftdd,http://shopee.vn/product/1394075/71927266,Bath & Body Care,Body Wash & Soap,IVCN202605201411,32113512936,https://detail.1688.com/offer/733172119525.html?spm=a26352.b28411319/2508.0.0,1688链接,05-21发布,71927266,17.66106,六月热招,1
SNAILWHITE 粉色维生素C胶束皂 60克 4块装,SNAILWHITE 粉色维生素C胶束皂 60克 4块装,25.23,https://cf.shopee.ph/file/sg-11134201-820o0-mnkxz9j9up6w2d,http://shopee.ph/product/48034555/14265501446,Bath & Body Care,Body Wash & Soap,IVCN202605201413,38528349050,https://detail.1688.com/offer/702557638605.html?sp,1688链接,05-21发布,14265501446,20.61343,六月热招,1
GT漂白皂三合一装 120克,GT漂白皂三合一装 120克,6.12,https://cf.shopee.ph/file/ph-11134211-7qul9-lgxj1538ztgm74,http://shopee.ph/product/92328166/4741950968,Bath & Body Care,Body Wash & Soap,IVCN202605201415,40266513326,https://detail.1688.com/offer/923645580322.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,05-21发布,4741950968,3.6038,六月热招,1
饼干味美臀霜，淡化臀部、腋下和腹股沟的黑斑，减少痤疮，令肌肤柔软光滑 🔥 包邮 🔥 - The Jungle Herbs,110克,45.93,https://cf.shopee.vn/file/vn-11134207-820l4-mh051gufe6ml76,http://shopee.vn/product/60306244/9079143102,Bath & Body Care,Others,IVCN202605201417,47925864739,https://detail.1688.com/offer/818840907795.html?spm=a26352.13672862.offerlist.44.27301e62lwNgI7,1688链接,05-21发布,9079143102,39.72583,六月热招,1
OXECURE 硫磺皂 100克，2块装,OXECURE 硫磺皂 100克，2块装,18.13,https://cf.shopee.ph/file/sg-11134201-820of-mnmmv9cjwf7nb0,http://shopee.ph/product/255268691/19302980312,Bath & Body Care,Body Wash & Soap,IVCN202605201419,48791096352,https://detail.1688.com/offer/565109650992.html?spm=a26352.13672862.offerlist.23.685c1e622MTnvi&offerId=565109650992&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=1eadd009d14e44578d9ad960b3db24b8&skuId=4032943177850&forcePC=1768806448557,1688链接,05-21发布,19302980312,14.30711,六月热招,1
象牙芦荟香型 113 克 x 10 块香皂,象牙芦荟,19.1,https://cf.shopee.ph/file/ph-11134207-7r992-lqwo3ulsmwxw91,http://shopee.ph/product/149174871/2356215464,Bath & Body Care,Body Wash & Soap,IVCN202605201421,49074563654,https://detail.1688.com/offer/549662619735.html?spm=a26352.13672862.offerlist.4.72001e62ahpzJz,1688链接,05-21发布,2356215464,20.98636,六月热招,1
Bio-Oil 生物油护肤油 200毫升 x 2 + 25毫升,Bio-Oil 生物油护肤油 200毫升 x 2 + 25毫升,29.6,https://cf.shopee.com.my/file/my-11134207-820l5-mn9gl07dzabn54,http://shopee.com.my/product/21516516/1980522677,Bath & Body Care,Body Oil,IVCN202605201423,50353031816,https://detail.1688.com/offer/970999050930.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17664717357428031e111b&token=WOmv00lmcPdn9JGxnWQWNkI0hWLrXolEAszh4KtzQH5mXgaK12rXEGdSjBU2N4eb,1688链接,05-21发布,1980522677,25.93145,六月热招,1
蒂尔博士焕彩亮肤维生素C柑橘精油​​沐浴露排毒浴,蒂尔博士焕彩亮肤维生素C柑橘精油​​沐浴露排毒浴,10.82,https://cf.shopee.ph/file/ph-11134207-7r98u-lva06n5ac1zodd,http://shopee.ph/product/251103596/13552223300,Bath & Body Care,Body Wash & Soap,IVCN202605201425,57839313525,https://detail.1688.com/offer/999616845350.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDINCUKNHUUV2HIUZUIUKOIJLEOTJSKRAVQM2NJ5BEMV2LGZGFQTRVLJDUSVJTIZGUMWSHI4ZEGN2HIUZVIT2NIJNEONC2IREU4WSWJBCTIRCBLAZTGUCVHU6T2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688链接,05-21发布,13552223300,15.09671,六月热招,1
滋养柔肤沐浴油补充装 450毫升,滋养柔肤沐浴油补充装 450毫升,10.37,https://cf.shopee.com.my/file/sg-11134201-820mz-mntqca854emca1,http://shopee.com.my/product/21516516/3301895291,Bath & Body Care,Body Oil,IVCN202605201427,60353043310,https://detail.1688.com/offer/760047217790.html?spm=a26352.13672862.offerlist.4.60e41e62AnUd71,1688链接,05-21发布,3301895291,8.30139,六月热招,1
