title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
卡尼尔樱花焕彩玻尿酸洁面乳 100ml - 令肌肤光滑透亮，适合所有肤质,卡尼尔樱花焕彩玻尿酸洁面乳 100ml - 令肌肤光滑透亮，适合所有肤质,4.23,https://cf.shopee.com.my/file/sg-11134201-823oi-mozmzyyh0wzy00,http://shopee.com.my/product/55790034/1022524770,Skincare,Facial Cleanser,IVCN202606250790,70442655271,https://detail.1688.com/offer/1004933548415.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,1022524770,7.67,热销品,,
快乐肌肤玻尿酸+维生素B3精华胶囊,快乐肌肤玻尿酸+维生素B3精华胶囊,4,https://cf.shopee.ph/file/3de7128ef1f1a2394020e89a996fd92b,http://shopee.ph/product/85793610/10430043641,Skincare,Facial Serum & Essence,IVCN202606250792,94284248687,https://detail.1688.com/offer/821331789204.html?spm=a26352.13672862.offerlist.36.67d93ac8V4T5Yb&cosite=-&tracelog=p4p&_p_isad=1&clickid=f085a96e273a4b7d93b02e2aadfe2339&sessionid=fdc203f066cd338589206cd11abfd798,1688三档价格,6月25日,10430043641,37.51,热销品,,
AESTURA ATOBARRIER365 神经酰胺面霜 | 韩国屏障修护保湿霜，长效保湿120小时，蕴含神经酰胺胶囊，专为干性和敏感性肌肤设计，经不致粉刺测试，45毫升/80毫升,atobarrier365 乳霜 45毫升,7.31,https://cf.shopee.com.my/file/sg-11134207-7rdwh-m123ytixk8o881,http://shopee.com.my/product/514119267/10437366769,Skincare,Facial Moisturizer,IVCN202606250794,2.56731E+11,https://detail.1688.com/offer/979936468530.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDINCUJ5HUUWSHJUZUISKOKJMUOVK2KRAVQM2NJ5BEMV2LGZGFQTRVLJDUSVJTIZGUMWSHI4ZEGN2HIUZVIT2NJJIUOWKZIRGU4WSSI5GVSRCBLAZTGUCVHU6T2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688三档价格,6月25日,10437366769,57.34,热销品,,
活力魅力双效视黄醇眼霜，减少皱纹、鱼尾纹和黑眼圈，深层滋养并修复眼周肌肤，20克,活力魅力双效视黄醇眼霜，减少皱纹、鱼尾纹和黑眼圈，深层滋养并修复眼周肌肤，20克,5.5,https://cf.shopee.vn/file/cn-11134207-820l4-mp226tfea7t75c,http://shopee.vn/product/244811407/10607993293,Skincare,Eye Treatment,IVCN202606250796,92416870408,https://detail.1688.com/offer/897550656444.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,10607993293,5.88,热销品,,Eye Cream
活力魅力双效视黄醇眼霜，减少皱纹、鱼尾纹和黑眼圈，深层滋养并修复眼周肌肤，20克,活力魅力双效视黄醇眼霜，减少皱纹、鱼尾纹和黑眼圈，深层滋养并修复眼周肌肤，20克,5.5,https://cf.shopee.vn/file/cn-11134207-820l4-mp226tfea7t75c,http://shopee.vn/product/244811407/10607993293,Skincare,Eye Treatment,IVCN202606250796,92416870408,https://detail.1688.com/offer/897550656444.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,10607993293,5.88,热销品,,Eye Cream
【COSRX官方】无毛孔净肤炭面膜 粉色 110g，超强紧致，针对毛孔粗大,【COSRX官方】无毛孔净肤炭面膜 粉色 110g，超强紧致，针对毛孔粗大,3.5,https://cf.shopee.ph/file/sg-11134207-7rdx8-lzaakt69ugki16,http://shopee.ph/product/153457585/10644387440,Skincare,Face Mask & Packs,IVCN202606250800,37190823078,https://detail.1688.com/offer/891825221141.html?spm=a26352.b28411319.offerlist.23.51951e626zF11o,1688三档价格,6月25日,10644387440,26.04,热销品,,
OM NATURAL 紫苏叶洁面乳，淡化色斑，提亮肤色 - 安全温和，清洁肌肤，轻柔去除角质 110毫升,110毫升装 SRM,5,https://cf.shopee.vn/file/vn-11134207-7ras8-mdogil1xf7idb9,http://shopee.vn/product/532963124/10658696980,Skincare,Facial Cleanser,IVCN202606250802,2.26105E+11,https://detail.1688.com/offer/882789457421.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,10658696980,10.94,热销品,,
肌研 HA Supreme Cera 保湿精华液 30ml,默认,5.5,https://cf.shopee.com.my/file/my-11134207-820lb-mp3nw6x75qf663,http://shopee.com.my/product/28285874/10721182416,Skincare,Facial Serum & Essence,IVCN202606250804,66627091840,https://detail.1688.com/offer/1004039949265.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,10721182416,41.49,热销品,,
露得清深层清洁洁面乳 100毫升,默认,4.23,https://cf.shopee.com.my/file/my-11134207-820le-mgemvbv11jwrba,http://shopee.com.my/product/62781995/1077850836,Skincare,Facial Cleanser,IVCN202606250806,60442655434,https://detail.1688.com/offer/1004933548415.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,6月25日,1077850836,12.26,热销品,,
露得清水活盈透保湿凝露 50克,默认,7.93,https://cf.shopee.com.my/file/my-11134207-820lh-mfes89j51ma64c,http://shopee.com.my/product/62781995/1078001132,Skincare,Facial Moisturizer,IVCN202606250808,30442649076,https://detail.1688.com/offer/917323819424.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价格,6月25日,1078001132,7.93,热销品,,
