title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelId,final_1688_link,price judge,上传日期,itemid,最大价格,价格档位,空置，该列请勿删除，否则会导致数据错乱,l4
LIPO-C 含 B12 | 燃脂精华油护肤套装,LC 燃脂套装（25 片装）,66.25,https://cf.shopee.ph/file/ph-11134207-820l9-mrkc1hfk3if46e,http://shopee.ph/product/111662022/47314463764,Skincare,Facial Oil,IVCN2026082110928,3.81244E+11,,1688三档价格,46255,47314463764,66.25,热销品,,
【祛痘/70片装】SOME BY MI 官方 AHA BHA PHA 30天 Truecica 净颜棉片 70片装,奇迹透明垫,8,https://cf.shopee.ph/file/sg-11134207-7rdye-mcinelk4p3nb60,http://shopee.ph/product/153457868/3216482178,Skincare,Face Mask & Packs,IVCN2026082110930,13392368540,https://detail.1688.com/offer/1036437775988.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,3216482178,8,热销品,,
AESTURA REGEDERM365 紧致胶囊精华液 | 维生素B3 10%，紧致肌肤屏障胶囊，强化肌肤屏障和弹性，不致粉刺，30毫升,Regederm365精华液 30毫升,1.7,https://cf.shopee.com.my/file/sg-11134207-82272-mhhe9g01jvnk93,http://shopee.com.my/product/514119267/24177521082,Skincare,Facial Serum & Essence,IVCN2026082110932,1.95069E+11,https://detail.1688.com/offer/961200536321.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf8ca8917739746196923430e0e08&token=bRp8HubfxfpBlsJ2wbOoDRjbI31wKqiRtAgRxuHO50r1JQ%2B%2FV30TxAdW9d7pnvUb,1688三档价格,46255,24177521082,1.7,热销品,,
Barefaced Sunkissed 润色防晒霜 SPF50+ PA++++ 防水防晒霜 防蓝光 50克,买一送二,13.88,https://cf.shopee.ph/file/sg-11134201-820mn-mnv6ew1l2d52b7,http://shopee.ph/product/1705315942/51159949816,Skincare,Face Sunscreen,IVCN2026082110934,4.10879E+11,,1688三档价格,46255,51159949816,13.88,热销品,,
10片装 Bano:Bagi 干细胞维生素面膜，密集护理肌肤，适合所有肤质，30毫升,美白保湿,4.9,https://cf.shopee.vn/file/vn-11134207-820l4-mhit6a6pr5z8cd,http://shopee.vn/product/1452048995/28325037295,Skincare,Face Mask & Packs,IVCN2026082110936,1.76949E+11,https://detail.1688.com/offer/1059698053432.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,28325037295,4.9,热销品,,
【FDA认证】茶壳美白精华液 5% 烟酰胺 & α-熊果苷 30ml - 淡化色斑，提亮肤色,2瓶（30毫升*2）,9,https://cf.shopee.ph/file/ph-11134207-820l6-mr1b7ww40bup66,http://shopee.ph/product/1731903343/42378545448,Skincare,Facial Serum & Essence,IVCN2026082110938,3.15608E+11,https://detail.1688.com/offer/1038710145433.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,42378545448,9,热销品,,
YouGLOWBabe 防晒精华 Shepu Appu BW 肥皂,血清,11.64,https://cf.shopee.ph/file/ph-11134207-820lf-mqpr3jfo0jr4da,http://shopee.ph/product/86073655/26545303173,Skincare,Face Sunscreen,IVCN2026082110940,4.41216E+11,,1688三档价格,46255,26545303173,11.64,热销品,,
SKINTIFIC 3%氨甲环酸亮肤精华液，提亮肤色，均匀肤色，淡化黑斑，祛痘,精华液+保湿霜,24.3,https://cf.shopee.com.my/file/my-11134207-7rasg-m8vvp7krkexa2a,http://shopee.com.my/product/1430310740/27626174860,Skincare,Facial Serum & Essence,IVCN2026082110942,1.77132E+11,"https://detail.1688.com/offer/828951012312.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=76fd0e149b6d5cbcbaa1912272b852ee&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC177D6A8FE3F9FCBAD453E92F90A8176C60162C05C854D782CB08C56DCB2B08C07EEF6D6099BA67CE089F770C23C101B70F98FEE6F8025EB2B1091ECE15FDADE80557F50E2BD30CDCCAFC4E8FC5149C2AA5EFFECFE19362E8A81486B6B531F7D36D8D8FEE435B0E2109390A5688A28226405E259079CA904CF3410D61341BB25CC2B01F5E9A7E1A8235D9E1E88AD1E95F%26cbu_cps_trace_flag%3Dwrite
https://detail.1688.com/offer/966968015304.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982",1688三档价格,46255,27626174860,24.3,热销品,,
[BIG]PAPA FEEL 577 淡斑精华液 50ml 祛痘印 | 4-丁基间苯二酚 + 烟酰胺 + 熊果苷 + 维生素C + 视黄醇,577 淡斑精华液 50毫升,19.59,https://cf.shopee.ph/file/cn-11134207-7ras8-m8k9p0puxj4tfa,http://shopee.ph/product/935977593/26683380966,Skincare,Facial Serum & Essence,IVCN2026082113432,2.05991E+11,https://detail.1688.com/offer/669718875156.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价格,46255,26683380966,19.59,热销品,,
[VT] 温和型 REEDLE SHOT 50 50ml 肌肤强化剂，改善肌肤吸收 [官方旗舰],里德尔射击 50,23.42,https://cf.shopee.sg/file/sg-11134207-7rbmx-lngv0py0c6i995,http://shopee.sg/product/168581560/22885183320,Skincare,Facial Serum & Essence,IVCN2026082114684,1.76188E+11,,1688三档价格,46255,22885183320,23.42,热销品,,
